video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=S4bKWbDO0JY&pp=ygUeQ2FwaXRvbCBIaWxsIE9yZ2FuaXplZCBQcm90ZXN0,/@nowthisnews,NowThis News,Inside Seattle's Police-Free Protest Zone | NowThis,82K,3 years,What was once known as the Capitol Hill Autonomous Zone (CHAZ) is now reportedly the 'Capitol Hill Organized Protest (CHOP).,39:28.2
/watch?v=pTjziHz23HA&pp=ygUeQ2FwaXRvbCBIaWxsIE9yZ2FuaXplZCBQcm90ZXN0,/@FoxBusiness,Fox Business,Seattle's autonomous zone renamed 'CHOP',65K,3 years,... Seattle's autonomous zone which has been renamed to the 'Capitol Hill Organized Protest' or 'CHOP.' #FoxBusiness Subscribe ...,39:28.2
/watch?v=Tm7sCkeNAvg&pp=ygUeQ2FwaXRvbCBIaWxsIE9yZ2FuaXplZCBQcm90ZXN0,/@KING5Seattle,KING 5 Seattle,CHOP zone population dwindling as occupants prepare lawsuit,144K,3 years,"Business owners in the area are suing the city for ""abandoning the neighborhood"" and allowing property damage and ...",39:28.2
/watch?v=fyO3eaciVfw&pp=ygUeQ2FwaXRvbCBIaWxsIE9yZ2FuaXplZCBQcm90ZXN0,/@KING5Seattle,KING 5 Seattle,BREAKING: new shooting victim near Seattle's CHOP / CHAZ zone Tuesday morning,129K,3 years,The victim made contact with the police about a block away from the organized protest zone CHOP / CHAZ.,39:28.2
/watch?v=1B4KktOxLYo&pp=ygUeQ2FwaXRvbCBIaWxsIE9yZ2FuaXplZCBQcm90ZXN0,/@msnbc,MSNBC,Seattle Police Clearing Out Capitol Hill Occupied Protest Zone After Mayor's Executive Order | MSNBC,60K,3 years,"MSNBC delivers breaking news, in-depth analysis of politics headlines, as well as commentary and informed perspectives.",39:28.2
/watch?v=jPMyE_GPQsE&pp=ygUeQ2FwaXRvbCBIaWxsIE9yZ2FuaXplZCBQcm90ZXN0,/@Reuters,Reuters,Seattle to dismantle protest zone after shootings,10K,3 years,"Demonstrators took over a six-block swath of the city, dubbed the Capitol Hill Organized Protest zone, in early June after cops ...",39:28.2
/watch?v=oXhtO7Pzm8o&pp=ygUeQ2FwaXRvbCBIaWxsIE9yZ2FuaXplZCBQcm90ZXN0,/@APArchive,AP Archive,Protester: Seattle autonomous zone 'so fractured',1.3K,3 years,"(26 Jun 2020) FOR CLEAN VERSION SEE STORY NUMBER: apus138793 Members of the Seattle ""occupied"" protest zone ...",39:28.2
/watch?v=LnXKBPdwfbI&pp=ygUeQ2FwaXRvbCBIaWxsIE9yZ2FuaXplZCBQcm90ZXN0,/@KING5Seattle,KING 5 Seattle,Witness describes the scene after second CHOP shooting,17K,3 years,Jake Shields was live streaming from inside the CHOP when he heard gunshots and people started running.,39:28.2
/watch?v=fvxueLZBiKU&pp=ygUeQ2FwaXRvbCBIaWxsIE9yZ2FuaXplZCBQcm90ZXN0,/@KING5Seattle,KING 5 Seattle,'It’s time for people to go home': Seattle mayor wants to dismantle 'CHOP' zone,199K,3 years,"Seattle Mayor Jenny Durkan condemned recent shootings in the ""Capitol Hill Organized Protest"" zone and wants to dismantle the ...",39:28.2
/watch?v=MsQd3tkEdvc&pp=ygUeQ2FwaXRvbCBIaWxsIE9yZ2FuaXplZCBQcm90ZXN0,/@KING5Seattle,KING 5 Seattle,Seattle business owner says police never responded to a burglary at his shop in the CHOP,99K,3 years,"... ""Captiol Hill Organized Protest"" -- and initially known as CHAZ, has been occupied by demonstrators, but mostly free of officers.",39:28.2
/watch?v=gPRxNra8opM&pp=ygUeQ2FwaXRvbCBIaWxsIE9yZ2FuaXplZCBQcm90ZXN0,/@KING5Seattle,KING 5 Seattle,"Seattle police move into CHOP, arrest at least 23 people.",372K,Streamed 3 years,"The Seattle Police Department moved into the ""Capitol Hill Organized Protest"" zone early Wednesday morning. MORE: ...",39:28.2
/watch?v=hVRRdF-nMxY&pp=ygUeQ2FwaXRvbCBIaWxsIE9yZ2FuaXplZCBQcm90ZXN0,/@KING5Seattle,KING 5 Seattle,At least 23 arrested as police clear Seattle’s CHOP zone,195K,3 years,"Seattle Mayor Jenny Durkan issued a 48-hour executive order Wednesday for protestors to vacate the ""Capitol Hill Organized ...",39:28.2
/watch?v=mFBmiNwI8WI&pp=ygUeQ2FwaXRvbCBIaWxsIE9yZ2FuaXplZCBQcm90ZXN0,/@KING5Seattle,KING 5 Seattle,Inside look at Seattle's East Precinct after police dismantle 'CHOP' zone,146K,3 years,The Seattle Police Department allowed a KING 5 photographer inside the East Precinct as officers returned for the first time in ...,39:28.2
/watch?v=0mESWGzkPp4&pp=ygUeQ2FwaXRvbCBIaWxsIE9yZ2FuaXplZCBQcm90ZXN0,/@KING5Seattle,KING 5 Seattle,Second shooting inside CHOP zone on Sunday night,44K,3 years,This makes for the second shooting over the weekend in the CHOP zone. The victim was taken to the hospital in a private vehicle.,39:36.1
/watch?v=g172UMQjCPU&pp=ygUeQ2FwaXRvbCBIaWxsIE9yZ2FuaXplZCBQcm90ZXN0,/@InsideEdition,Inside Edition,Seattle Business Owners Are Fed Up With ‘CHOP’ Occupied Zone,348K,3 years,"The standoff comes as small business owners say they are fed up with “CHOP,” which stands for Capitol Hill Organized Protest.",39:36.1
/watch?v=TK68ffBF9IM&pp=ygUeQ2FwaXRvbCBIaWxsIE9yZ2FuaXplZCBQcm90ZXN0,/@TODAY,TODAY,Inside The ‘Autonomous Zone’ In Seattle’s Capitol Hill | TODAY,278K,3 years,"About: TODAY brings you the latest headlines and expert tips on money, health and parenting. We wake up every morning to give ...",39:36.1
/watch?v=n4Nui661FPA&pp=ygUeQ2FwaXRvbCBIaWxsIE9yZ2FuaXplZCBQcm90ZXN0,/@KING5Seattle,KING 5 Seattle,Police body-worn cameras show response to deadly shooting in the CHOP,98K,3 years,There are no suspects in the shooting that left one man dead and another wounded in Seattle's Capitol Hill Organized Protest ...,39:36.1
/watch?v=mpLANIpZxdU&pp=ygUeQ2FwaXRvbCBIaWxsIE9yZ2FuaXplZCBQcm90ZXN0,/@KING5Seattle,KING 5 Seattle,4th shooting near Seattle's CHOP zone in 9 days investigated,98K,3 years,One man was killed and another critically injured in the fourth shooting near Seattle's CHOP zone in nine days. Read more: ...,39:36.1
/watch?v=UDLqbGVZQC4&pp=ygUeQ2FwaXRvbCBIaWxsIE9yZ2FuaXplZCBQcm90ZXN0,/@KING5Seattle,KING 5 Seattle,Coverage of Seattle protests in CHOP and coronavirus updates on KING 5 at 11 - June 15,6.1K,3 years,Coverage of Seattle protests in CHOP and coronavirus updates on KING 5 News at 11 p.m. on June 15.,39:36.1
/watch?v=L5779XkaZfo&pp=ygUeQ2FwaXRvbCBIaWxsIE9yZ2FuaXplZCBQcm90ZXN0,/@APArchive,AP Archive,Protesters resist clearing of Seattle protest zone,707,3 years,"The collective of protesters, activists, educators and volunteers in the Capitol Hill Organized Protest was born after clashes with ...",39:36.1
/watch?v=lfP_5L8epow&pp=ygUeQ2FwaXRvbCBIaWxsIE9yZ2FuaXplZCBQcm90ZXN0,/@VICENews,VICE News,Inside the Capitol Hill Riots,2.6M,3 years,This is what it was like to be inside the Capitol Hill insurrection. Subscribe to VICE News here: http://bit.ly/Subscribe-to-VICE-News ...,39:36.1
/watch?v=3tHjYcqQre8&pp=ygUeQ2FwaXRvbCBIaWxsIE9yZ2FuaXplZCBQcm90ZXN0,/@KING5Seattle,KING 5 Seattle,Seattle's 'Capitol Hill Autonomous Zone' makes national headlines amid opposing viewpoints,60K,3 years,"The area formerly known as 12th and Pine in Seattle has now become the CHAZ, or 'Capitol Hill Autonomous Zone,' and it's ...",39:36.1
/watch?v=9h3PAkqm02g&pp=ygUeQ2FwaXRvbCBIaWxsIE9yZ2FuaXplZCBQcm90ZXN0,/@WashingtonPost,Washington Post,A guide to Seattle's CHOP and how autonomous protest zones work,38K,3 years,"Autonomous zones are temporary protest camps, each with its own set of specific goals. Get an inside look at Seattle's occupation ...",39:36.1
/watch?v=tURI4wJFkfQ&pp=ygUeQ2FwaXRvbCBIaWxsIE9yZ2FuaXplZCBQcm90ZXN0,/@BloombergQuicktake,Bloomberg Quicktake,"Inside Seattle's 'Capitol Hill Autonomous Zone' Free of Police, Claimed by Protesters",140K,3 years,"Take a look inside the “Capitol Hill Autonomous Zone,” which was set up by protesters across several blocks in Seattle's Capitol ...",39:36.1
/watch?v=sZW1QbjRi4c&pp=ygUeQ2FwaXRvbCBIaWxsIE9yZ2FuaXplZCBQcm90ZXN0,/@APArchive,AP Archive,Seattle police say protesters were well organized,4.2K,3 years,(20 Jul 2020) FOR CLEAN VERSION SEE STORY NUMBER: apus140043 Authorities say two people were arrested and some ...,39:36.1
/watch?v=bDwyeRD_UCo&pp=ygUeQ2FwaXRvbCBIaWxsIE9yZ2FuaXplZCBQcm90ZXN0,/@APArchive,AP Archive,Seattle police say protesters were well organized,10K,3 years,(20 Jul 2020) Authorities say two people were arrested and some Seattle police officers were injured Sunday afternoon when a ...,39:36.1
/watch?v=VRid-a3OMeM&pp=ygUeQ2FwaXRvbCBIaWxsIE9yZ2FuaXplZCBQcm90ZXN0,/@MikeGeyer,Mike Geyer,"Black Lives Matter - Capitol Hill, Seattle - Peaceful Capitol Hill Organized Protest ""CHOP""",404,3 years,"I am a participant in the Amazon Services LLC Associates Program, an affiliate advertising program designed to provide a means ...",39:36.2
/watch?v=MRHfAk1J7DE&pp=ygUeQ2FwaXRvbCBIaWxsIE9yZ2FuaXplZCBQcm90ZXN0,/@KING5Seattle,KING 5 Seattle,30-year-old man shot near CHOP district Tuesday morning,73K,3 years,The man was transported to the hospital via ambulance from a staging area outside of CHOP.,39:36.2
/watch?v=71Do6H6aZXU&pp=ygUeQ2FwaXRvbCBIaWxsIE9yZ2FuaXplZCBQcm90ZXN0,/@KING5Seattle,KING 5 Seattle,Protesters march on Capitol Hill in Seattle,11K,3 years,Hundreds of protesters peacefully marched on Capitol Hill in Seattle on Sunday afternoon.,39:36.2
/watch?v=ieooKFRhTSs&pp=ygUeQ2FwaXRvbCBIaWxsIE9yZ2FuaXplZCBQcm90ZXN0,/@KING5Seattle,KING 5 Seattle,"Father of man killed inside Seattle's CHOP zone files $3 billion in claims against city, county, sta",2K,3 years,The father of a man shot and killed inside Seattle's Capitol Hill Organized Protest (CHOP) zone in June has filed three claims ...,39:36.2
/watch?v=1jZkl1s9ehs&pp=ygUeQ2FwaXRvbCBIaWxsIE9yZ2FuaXplZCBQcm90ZXN0,/@WSJNews,WSJ News,Israel-Hamas War: Demonstrators Arrested at U.S. Capitol Peace Rally | WSJ News,44K,3 months,Hundreds of protesters rallied inside an office building on Capitol Hill on Wednesday to call for a ceasefire in the Israel-Hamas ...,39:36.2
/watch?v=9o4Lg9INdds&pp=ygUeQ2FwaXRvbCBIaWxsIE9yZ2FuaXplZCBQcm90ZXN0,/@APArchive,AP Archive,Seattle police say protesters were well organized,856,3 years,(20 Jul 2020) Authorities say two people were arrested and some Seattle police officers were injured Sunday afternoon when a ...,39:36.2
/watch?v=UF9wBE684ms&pp=ygUeQ2FwaXRvbCBIaWxsIE9yZ2FuaXplZCBQcm90ZXN0,/@KING5Seattle,KING 5 Seattle,Armed suspect in custody after dispute in Seattle's Capitol Hill neighborhood,7.7K,6 months,Seattle police responded to a hostage situation in the Capitol Hill neighborhood Wednesday evening. The incident happened ...,39:36.2
